id,ChEBI,CID
s_0529[c],CHEBI:57287,25113190
s_0530[er],CHEBI:57287,25113190
s_0531[lp],CHEBI:57287,25113190
s_0532[m],CHEBI:57287,25113190
s_0533[n],CHEBI:57287,25113190
s_0534[p],CHEBI:57287,25113190
s_0538[c],CHEBI:57309,20849114
s_0539[c],CHEBI:37563,7058166
s_0541[m],CHEBI:37563,7058166
s_0542[c],CHEBI:29152,
s_0543[c],CHEBI:17562,6175
s_0544[e],CHEBI:17562,6175
s_0545[c],CHEBI:16040,597
s_0546[e],CHEBI:16040,597
s_0547[c],CHEBI:16292,17723
s_0548[c],CHEBI:17108,
s_0549[e],CHEBI:17108,
s_0550[c],CHEBI:58278,5459954
s_0551[c],CHEBI:16897,5459862
s_0552[m],CHEBI:16897,5459862
s_0553[c],CHEBI:15824,
s_0554[e],CHEBI:15824,
s_0555[c],CHEBI:16905,84951
s_0556[c],CHEBI:18105,65246
s_0557[c],CHEBI:57579,21114947
s_0558[c],CHEBI:12936,
s_0559[e],CHEBI:12936,
s_0560[e],CHEBI:12952,1593918
s_0561[c],CHEBI:17924,5780
s_0562[e],CHEBI:17924,5780
s_0563[c],CHEBI:4167,5793
s_0565[e],CHEBI:4167,5793
s_0566[v],CHEBI:4167,5793
s_0567[c],CHEBI:57629,23421198
s_0568[c],CHEBI:14314,
s_0570[c],CHEBI:17378,79014
s_0571[c],CHEBI:16024,
s_0572[e],CHEBI:16024,
s_0573[c],CHEBI:35374,644175
s_0574[c],CHEBI:17369,
s_0575[c],CHEBI:16988,
s_0576[e],CHEBI:16988,
s_0577[c],CHEBI:58121,21144996
s_0578[c],CHEBI:15936,644160
s_0579[e],CHEBI:15936,644160
s_0580[c],CHEBI:17140,5289590
s_0581[c],CHEBI:57737,5459820
s_0582[c],CHEBI:57667,21125569
s_0583[n],CHEBI:57667,21125569
s_0584[c],CHEBI:58245,22848660
s_0585[m],CHEBI:58245,22848660
s_0586[c],CHEBI:61404,25320183
s_0587[c],CHEBI:58593,21122964
s_0588[n],CHEBI:58593,21122964
s_0589[c],CHEBI:57566,7058169
s_0590[c],CHEBI:57724,42609815
s_0591[c],CHEBI:18304,165491
s_0593[n],CHEBI:18304,165491
s_0595[c],CHEBI:27689,4678093
s_0597[e],CHEBI:27689,4678093
s_0600[p],CHEBI:27689,4678093
s_0605[p],CHEBI:61430,25244140
s_0606[lp],CHEBI:53043,5462210
s_0607[c],CHEBI:58277,54730539
s_0608[c],CHEBI:53027,9949656
s_0609[n],CHEBI:53027,9949656
s_0610[c],CHEBI:15698,13711
s_0611[e],CHEBI:15698,13711
s_0612[c],CHEBI:57861,25244917
s_0613[c],CHEBI:58595,135398594
s_0614[n],CHEBI:58595,135398594
s_0615[c],CHEBI:57673,135398596
s_0616[m],CHEBI:57673,135398596
s_0617[c],CHEBI:57794,135912259
s_0618[c],CHEBI:28823,135398667
s_0620[er],CHEBI:18035,
s_0625[c],CHEBI:57451,135398603
s_0626[m],CHEBI:57451,135398603
s_0627[m],CHEBI:17694,663
s_0628[m],CHEBI:16194,
s_0629[c],CHEBI:57642,4643300
s_0631[lp],CHEBI:57642,4643300
s_0632[m],CHEBI:57642,4643300
s_0633[c],CHEBI:33019,4097574
s_0635[lp],CHEBI:33019,4097574
s_0636[m],CHEBI:33019,4097574
s_0637[n],CHEBI:33019,4097574
s_0638[p],CHEBI:33019,4097574
s_0639[c],CHEBI:61382,135398615
s_0640[lp],CHEBI:53031,44224039
s_0641[lp],CHEBI:53041,25246061
s_0642[c],CHEBI:16091,24892719
s_0644[er],CHEBI:15809,45259167
s_0645[c],CHEBI:16214,24892715
s_0646[er],CHEBI:16214,24892715
s_0647[c],CHEBI:58369,21124327
s_0649[c],CHEBI:17013,9700
s_0650[c],CHEBI:58370,42609788
s_0651[e],CHEBI:58370,42609788
s_0652[c],CHEBI:60471,25246037
s_0653[n],CHEBI:60471,25246037
s_0654[c],CHEBI:246422,18601100
s_0655[n],CHEBI:246422,18601100
s_0656[c],CHEBI:58212,49852308
s_0657[c],CHEBI:23929,5283662
s_0659[e],CHEBI:23929,5283662
s_0662[c],CHEBI:18249,11090531
s_0663[er],CHEBI:18249,11090531
s_0664[c],CHEBI:52972,10894570
s_0665[ce],CHEBI:16933,444679
s_0666[c],CHEBI:16933,444679
s_0667[er],CHEBI:16933,444679
s_0668[e],CHEBI:16933,444679
